"train/global_step","Group: seq_bn-rf64 - _step","Group: seq_bn-rf64 - _step__MIN","Group: seq_bn-rf64 - _step__MAX","Group: seq_bn-rf64 - eval/overall_f1","Group: seq_bn-rf64 - eval/overall_f1__MIN","Group: seq_bn-rf64 - eval/overall_f1__MAX","Group: seq_bn-rf16 - _step","Group: seq_bn-rf16 - _step__MIN","Group: seq_bn-rf16 - _step__MAX","Group: seq_bn-rf16 - eval/overall_f1","Group: seq_bn-rf16 - eval/overall_f1__MIN","Group: seq_bn-rf16 - eval/overall_f1__MAX","Group: pt-pl50 - _step","Group: pt-pl50 - _step__MIN","Group: pt-pl50 - _step__MAX","Group: pt-pl50 - eval/overall_f1","Group: pt-pl50 - eval/overall_f1__MIN","Group: pt-pl50 - eval/overall_f1__MAX","Group: pt-pl5 - _step","Group: pt-pl5 - _step__MIN","Group: pt-pl5 - _step__MAX","Group: pt-pl5 - eval/overall_f1","Group: pt-pl5 - eval/overall_f1__MIN","Group: pt-pl5 - eval/overall_f1__MAX","Group: seq_bn - _step","Group: seq_bn - _step__MIN","Group: seq_bn - _step__MAX","Group: seq_bn - eval/overall_f1","Group: seq_bn - eval/overall_f1__MIN","Group: seq_bn - eval/overall_f1__MAX","Group: unipelt - _step","Group: unipelt - _step__MIN","Group: unipelt - _step__MAX","Group: unipelt - eval/overall_f1","Group: unipelt - eval/overall_f1__MIN","Group: unipelt - eval/overall_f1__MAX","Group: lora-r16 - _step","Group: lora-r16 - _step__MIN","Group: lora-r16 - _step__MAX","Group: lora-r16 - eval/overall_f1","Group: lora-r16 - eval/overall_f1__MIN","Group: lora-r16 - eval/overall_f1__MAX","Group: lora-r8 - _step","Group: lora-r8 - _step__MIN","Group: lora-r8 - _step__MAX","Group: lora-r8 - eval/overall_f1","Group: lora-r8 - eval/overall_f1__MIN","Group: lora-r8 - eval/overall_f1__MAX","Group: baseline - _step","Group: baseline - _step__MIN","Group: baseline - _step__MAX","Group: baseline - eval/overall_f1","Group: baseline - eval/overall_f1__MIN","Group: baseline - eval/overall_f1__MAX"
"2226","41","41","41","0.7720893449803549","0.7607843137254902","0.7762803234501348","41","41","41","0.8145961594488744","0.8010471204188482","0.8246575342465754","41","41","41","0.8209600941314361","0.8048452220726783","0.8480662983425414","41","41","41","0.8185672181710032","0.7947712418300653","0.8295904887714662","41","41","41","0.8145961594488744","0.8010471204188482","0.8246575342465754","41","41","41","0.8172621996594696","0.7962962962962963","0.8365122615803815","41","41","41","0.7954941446435564","0.785243741765481","0.8052980132450331","41","41","41","0.7878896463369667","0.7682291666666666","0.8010610079575596","41","41","41","0.8435162487928608","0.828804347826087","0.8657534246575342"
"2332","43","43","43","0.7704090280995004","0.7625329815303432","0.7774725274725275","43","43","43","0.8145853237546765","0.7900912646675358","0.8328690807799444","43","43","43","0.819296255604284","0.8117489986648866","0.8362652232746955","43","43","43","0.8119504134483957","0.796875","0.8204419889502763","43","43","43","0.8145853237546765","0.7900912646675358","0.8328690807799444","43","43","43","0.8188970425737908","0.8032345013477089","0.8260869565217391","43","43","43","0.7912057299678206","0.769620253164557","0.8123324396782842","43","43","43","0.7840653292980897","0.7633587786259542","0.7967257844474761","43","43","43","0.846756023368583","0.828496042216359","0.8651685393258427"
"2438","45","45","45","0.7791403195321396","0.7684069611780456","0.7846364883401921","45","45","45","0.8211936083767087","0.8176638176638177","0.8249336870026525","45","45","45","0.8253166267596017","0.8139223560910309","0.8340080971659919","45","45","45","0.8260701248265784","0.8091397849462367","0.84","45","45","45","0.8211936083767087","0.8176638176638177","0.8249336870026525","45","45","45","0.8284924312233578","0.8208744710860366","0.8372093023255812","45","45","45","0.8013110161073593","0.7984189723320159","0.8054421768707483","45","45","45","0.7924813103163968","0.7783505154639175","0.7999999999999999","45","45","45","0.8454748378704785","0.8248275862068966","0.8567415730337079"
"2544","47","47","47","0.7722934793725469","0.762402088772846","0.7830687830687829","47","47","47","0.813046189017062","0.7962962962962963","0.8285322359396433","47","47","47","0.8233889290315215","0.8152031454783748","0.8319559228650136","47","47","47","0.8199818580665978","0.8143236074270557","0.8228882833787466","47","47","47","0.813046189017062","0.7962962962962963","0.8285322359396433","47","47","47","0.8231074150618014","0.8055944055944055","0.8324175824175825","47","47","47","0.7916833160706029","0.782051282051282","0.7999999999999999","47","47","47","0.7901825898350707","0.7803617571059431","0.7973333333333333","47","47","47","0.8423482524158385","0.8306010928961749","0.8559322033898306"
"2650","49","49","49","0.7775841650608534","0.7658998646820028","0.7912087912087913","49","49","49","0.8184688748468908","0.8117489986648865","0.8246318607764391","49","49","49","0.8149434940490481","0.8010269576379975","0.8301886792452831","49","49","49","0.8273732374374376","0.814419225634179","0.8423988842398884","49","49","49","0.8184688748468908","0.8117489986648865","0.8246318607764391","49","49","49","0.8230849073299223","0.80946123521682","0.8376068376068375","49","49","49","0.7967932654725921","0.7803617571059431","0.8128342245989304","49","49","49","0.7879462610048862","0.7759282970550576","0.7956403269754767","49","49","49","0.8441791345457805","0.8337950138504155","0.8587257617728532"
"2756","51","51","51","0.7836501462338891","0.7726675427069645","0.790190735694823","51","51","51","0.8185860728215042","0.8052980132450331","0.8312412831241283","51","51","51","0.8171940605570901","0.8052980132450333","0.8333333333333334","51","51","51","0.8287725073881622","0.8205128205128205","0.8425414364640883","51","51","51","0.8185860728215042","0.8052980132450331","0.8312412831241283","51","51","51","0.8166188232588368","0.8058902275769746","0.8314606741573034","51","51","51","0.7976663168434203","0.7910643889618922","0.8053691275167786","51","51","51","0.7902075032061291","0.7660130718954249","0.7989556135770234","51","51","51","0.8437027824749677","0.8278688524590163","0.8582887700534759"
"2862","53","53","53","0.7838618376869644","0.7767253044654939","0.79382889200561","53","53","53","0.8126595001870702","0.7894736842105263","0.8328690807799444","53","53","53","0.8174079759883337","0.8095872170439414","0.8232044198895028","53","53","53","0.8179555537042752","0.8110964332892999","0.8301369863013699","53","53","53","0.8126595001870702","0.7894736842105263","0.8328690807799444","53","53","53","0.8178394713894157","0.8049792531120332","0.8256130790190735","53","53","53","0.7980166216079171","0.7833981841763942","0.8148148148148149","53","53","53","0.797005900672847","0.7801047120418848","0.8081632653061224","53","53","53","0.840597927087104","0.8238557558945908","0.8552278820375334"
"2968","55","55","55","0.7890473503914153","0.7754010695187166","0.7994428969359332","55","55","55","0.8154525019909968","0.809782608695652","0.8212290502793296","55","55","55","0.8250903658432506","0.8151041666666666","0.8395061728395062","55","55","55","0.8272683457257873","0.8070175438596492","0.8337801608579088","55","55","55","0.8154525019909968","0.809782608695652","0.8212290502793296","55","55","55","0.8280598876338641","0.8193103448275862","0.8372093023255814","55","55","55","0.8005641787440128","0.7953063885267275","0.8080536912751678","55","55","55","0.7942690054366943","0.7772020725388602","0.8095872170439414","55","55","55","0.8461673178744753","0.828060522696011","0.8599439775910365"
"3074","57","57","57","0.7915724552265399","0.7840440165061899","0.800561797752809","57","57","57","0.8171238466691733","0.7989347536617842","0.8256624825662484","57","57","57","0.8248210116759453","0.8097686375321336","0.8349249658935879","57","57","57","0.8293744331415098","0.8211382113821138","0.8364611260053618","57","57","57","0.8171238466691733","0.7989347536617842","0.8256624825662484","57","57","57","0.8275085991914501","0.8149171270718231","0.835820895522388","57","57","57","0.8030153098134367","0.7934093789607097","0.8183041722745626","57","57","57","0.7959579575559977","0.7777777777777778","0.8112449799196787","57","57","57","0.8471799084523829","0.8273894436519258","0.8730385164051355"
"3180","59","59","59","0.798403630676724","0.782258064516129","0.8070175438596491","59","59","59","0.8214655296990847","0.8139223560910309","0.8312056737588652","59","59","59","0.8232177533981835","0.8157894736842105","0.8333333333333334","59","59","59","0.828917287521034","0.8183041722745626","0.849083215796897","59","59","59","0.8214655296990847","0.8139223560910309","0.8312056737588652","59","59","59","0.8317315782847536","0.8226950354609929","0.8408163265306122","59","59","59","0.7989541337819611","0.7896103896103897","0.8069241011984021","59","59","59","0.7993886033352654","0.7835325365205843","0.8090787716955942","59","59","59","0.8545118573701831","0.8347107438016529","0.8680851063829786"
