"train/global_step","Group: pt-pl50 - _step","Group: pt-pl50 - _step__MIN","Group: pt-pl50 - _step__MAX","Group: pt-pl50 - eval/overall_f1","Group: pt-pl50 - eval/overall_f1__MIN","Group: pt-pl50 - eval/overall_f1__MAX","Group: seq_bn-rf64 - _step","Group: seq_bn-rf64 - _step__MIN","Group: seq_bn-rf64 - _step__MAX","Group: seq_bn-rf64 - eval/overall_f1","Group: seq_bn-rf64 - eval/overall_f1__MIN","Group: seq_bn-rf64 - eval/overall_f1__MAX","Group: seq_bn-rf16 - _step","Group: seq_bn-rf16 - _step__MIN","Group: seq_bn-rf16 - _step__MAX","Group: seq_bn-rf16 - eval/overall_f1","Group: seq_bn-rf16 - eval/overall_f1__MIN","Group: seq_bn-rf16 - eval/overall_f1__MAX","Group: pt-pl5 - _step","Group: pt-pl5 - _step__MIN","Group: pt-pl5 - _step__MAX","Group: pt-pl5 - eval/overall_f1","Group: pt-pl5 - eval/overall_f1__MIN","Group: pt-pl5 - eval/overall_f1__MAX","Group: unipelt - _step","Group: unipelt - _step__MIN","Group: unipelt - _step__MAX","Group: unipelt - eval/overall_f1","Group: unipelt - eval/overall_f1__MIN","Group: unipelt - eval/overall_f1__MAX","Group: lora-r16 - _step","Group: lora-r16 - _step__MIN","Group: lora-r16 - _step__MAX","Group: lora-r16 - eval/overall_f1","Group: lora-r16 - eval/overall_f1__MIN","Group: lora-r16 - eval/overall_f1__MAX","Group: lora-r8 - _step","Group: lora-r8 - _step__MIN","Group: lora-r8 - _step__MAX","Group: lora-r8 - eval/overall_f1","Group: lora-r8 - eval/overall_f1__MIN","Group: lora-r8 - eval/overall_f1__MAX","Group: baseline - _step","Group: baseline - _step__MIN","Group: baseline - _step__MAX","Group: baseline - eval/overall_f1","Group: baseline - eval/overall_f1__MIN","Group: baseline - eval/overall_f1__MAX"
"2496","51","51","51","0.9359593419345792","0.9282178217821783","0.9405815423514539","51","51","51","0.912658591264135","0.8925000000000001","0.927860696517413","51","51","51","0.9357652271908183","0.9243902439024391","0.9589041095890412","51","51","51","0.9375702102441436","0.9289215686274509","0.9476309226932669","51","51","51","0.9410974992714285","0.9203980099502488","0.9521410579345088","51","51","51","0.9168975306414895","0.912280701754386","0.9201995012468827","51","51","51","0.9135080145491866","0.9042821158690176","0.927860696517413","51","51","51","0.9443457538846847","0.9272503082614056","0.9582806573957017"
"2592","53","53","53","0.9361649069517934","0.9271356783919598","0.9434889434889435","53","53","53","0.9140129639527881","0.900497512437811","0.9297163995067819","53","53","53","0.9341626615694191","0.9275","0.9540372670807453","53","53","53","0.9361646178967316","0.9121019108280255","0.951310861423221","53","53","53","0.9405848445827264","0.928136419001218","0.9573934837092732","53","53","53","0.9179886188634393","0.9111389236545681","0.9276807980049875","53","53","53","0.9166815028496259","0.9095415117719952","0.9318463444857498","53","53","53","0.9427058051535135","0.9228855721393036","0.958801498127341"
"2688","55","55","55","0.9371251181777204","0.9286608260325407","0.945409429280397","55","55","55","0.9155094143085787","0.8944099378881987","0.9359605911330049","55","55","55","0.9307979177802934","0.9219512195121952","0.9407407407407408","55","55","55","0.9395279438636024","0.9219330855018587","0.960609911054638","55","55","55","0.9413619286886389","0.9244114002478315","0.9597989949748744","55","55","55","0.9160001559264248","0.9097744360902256","0.9253731343283583","55","55","55","0.9151122650768592","0.9106699751861043","0.9203539823008849","55","55","55","0.9411545730891204","0.9318181818181818","0.9517766497461929"
"2784","57","57","57","0.9396793864481007","0.9345088161209069","0.946450809464508","57","57","57","0.9157560600508197","0.9041095890410957","0.9331683168316832","57","57","57","0.9342435740864978","0.924223602484472","0.9506172839506173","57","57","57","0.933471728305404","0.915082382762991","0.9476309226932669","57","57","57","0.9371855740906234","0.9221260815822003","0.9526184538653367","57","57","57","0.9235885976301847","0.9170731707317074","0.929113924050633","57","57","57","0.919824811168038","0.9128834355828221","0.9257861635220126","57","57","57","0.9467489068606026","0.9364881693648817","0.9581749049429658"
"2880","59","59","59","0.9373779614161609","0.9222929936305732","0.9451371571072318","59","59","59","0.9161511313900256","0.9016189290161892","0.9404466501240695","59","59","59","0.9359754063349076","0.9276807980049875","0.9467162329615861","59","59","59","0.933148328192799","0.9232643118148599","0.9488139825218478","59","59","59","0.9357112105470453","0.9255189255189255","0.9443757725587145","59","59","59","0.9247549200212006","0.9169764560099132","0.9355246523388117","59","59","59","0.9217673878299759","0.9144981412639406","0.9281210592686003","59","59","59","0.9489641725287935","0.9333333333333333","0.9584905660377357"
"2976","61","61","61","0.9340605187899209","0.9257425742574257","0.945273631840796","61","61","61","0.9158876130291616","0.8936170212765957","0.9366459627329192","61","61","61","0.9325064376480301","0.9266503667481663","0.9515527950310558","61","61","61","0.9415861449060344","0.9321824907521578","0.9498746867167919","61","61","61","0.9364912396324652","0.9207920792079208","0.9525","61","61","61","0.9173099410296915","0.9115479115479116","0.9265255292652553","61","61","61","0.9199560432813183","0.9108669108669109","0.9316770186335404","61","61","61","0.9480313279187303","0.9303482587064676","0.9633375474083439"
"3072","63","63","63","0.9335121315408269","0.9215189873417722","0.9408866995073891","63","63","63","0.9218519273043697","0.9043478260869564","0.9398496240601504","63","63","63","0.9352499949724422","0.9203980099502488","0.9637046307884857","63","63","63","0.9336118009965914","0.9259723964868256","0.9440993788819876","63","63","63","0.9372439624474067","0.9277566539923955","0.951188986232791","63","63","63","0.9176504507151672","0.906832298136646","0.9259723964868257","63","63","63","0.9172463900904363","0.905982905982906","0.9203980099502488","63","63","63","0.9488177538490973","0.9272503082614056","0.965865992414665"
"3168","65","65","65","0.931101049661714","0.9124537607891491","0.9489414694894147","65","65","65","0.9193645921101634","0.907035175879397","0.9391304347826087","65","65","65","0.932963715194218","0.9238329238329237","0.9563046192259675","65","65","65","0.9403350915096436","0.9367088607594937","0.9436795994993743","65","65","65","0.936126469862889","0.9213759213759213","0.9534591194968555","65","65","65","0.9178727376403943","0.9104477611940298","0.9311639549436797","65","65","65","0.9133394657669435","0.8990147783251232","0.9217171717171717","65","65","65","0.9436311394661805","0.9171817058096416","0.9633375474083439"
"3264","67","67","67","0.9371956731507554","0.9296482412060302","0.946583850931677","67","67","67","0.9237827554673128","0.9075","0.9426433915211971","67","67","67","0.9345458345344486","0.917705735660848","0.9589041095890412","67","67","67","0.9430192227704216","0.9345088161209069","0.9515527950310558","67","67","67","0.9400469586568301","0.9257425742574257","0.9550000000000001","67","67","67","0.9246687521979563","0.9102244389027431","0.9377382465057178","67","67","67","0.9197373963057037","0.9153374233128834","0.929113924050633","67","67","67","0.9444383619699194","0.9313358302122348","0.9546599496221662"
"3360","69","69","69","0.9361439723776093","0.9321608040201005","0.9451371571072318","69","69","69","0.9207161732761773","0.9084065244667503","0.9404466501240695","69","69","69","0.9347353370965447","0.9273182957393483","0.9550000000000001","69","69","69","0.9361910816617207","0.925","0.945273631840796","69","69","69","0.9352073662581628","0.912280701754386","0.95","69","69","69","0.923160685399238","0.9155446756425949","0.934010152284264","69","69","69","0.9188715249334198","0.9044117647058824","0.9304677623261693","69","69","69","0.9462265404439065","0.9318463444857497","0.9521410579345088"
