"train/global_step","Group: pt-pl50 - _step","Group: pt-pl50 - _step__MIN","Group: pt-pl50 - _step__MAX","Group: pt-pl50 - eval/overall_f1","Group: pt-pl50 - eval/overall_f1__MIN","Group: pt-pl50 - eval/overall_f1__MAX","Group: seq_bn-rf64 - _step","Group: seq_bn-rf64 - _step__MIN","Group: seq_bn-rf64 - _step__MAX","Group: seq_bn-rf64 - eval/overall_f1","Group: seq_bn-rf64 - eval/overall_f1__MIN","Group: seq_bn-rf64 - eval/overall_f1__MAX","Group: seq_bn-rf16 - _step","Group: seq_bn-rf16 - _step__MIN","Group: seq_bn-rf16 - _step__MAX","Group: seq_bn-rf16 - eval/overall_f1","Group: seq_bn-rf16 - eval/overall_f1__MIN","Group: seq_bn-rf16 - eval/overall_f1__MAX","Group: pt-pl5 - _step","Group: pt-pl5 - _step__MIN","Group: pt-pl5 - _step__MAX","Group: pt-pl5 - eval/overall_f1","Group: pt-pl5 - eval/overall_f1__MIN","Group: pt-pl5 - eval/overall_f1__MAX","Group: unipelt - _step","Group: unipelt - _step__MIN","Group: unipelt - _step__MAX","Group: unipelt - eval/overall_f1","Group: unipelt - eval/overall_f1__MIN","Group: unipelt - eval/overall_f1__MAX","Group: lora-r16 - _step","Group: lora-r16 - _step__MIN","Group: lora-r16 - _step__MAX","Group: lora-r16 - eval/overall_f1","Group: lora-r16 - eval/overall_f1__MIN","Group: lora-r16 - eval/overall_f1__MAX","Group: lora-r8 - _step","Group: lora-r8 - _step__MIN","Group: lora-r8 - _step__MAX","Group: lora-r8 - eval/overall_f1","Group: lora-r8 - eval/overall_f1__MIN","Group: lora-r8 - eval/overall_f1__MAX","Group: baseline - _step","Group: baseline - _step__MIN","Group: baseline - _step__MAX","Group: baseline - eval/overall_f1","Group: baseline - eval/overall_f1__MIN","Group: baseline - eval/overall_f1__MAX"
"8160","169","169","169","0.9418282364473102","0.9382093316519546","0.9459119496855346","169","169","169","0.9360169737969171","0.9319899244332494","0.9477611940298507","169","169","169","0.9401220077568453","0.9221105527638191","0.958801498127341","169","169","169","0.9376630984577616","0.9219143576826196","0.9501246882793017","169","169","169","0.9427367969327889","0.934010152284264","0.9510664993726474","169","169","169","0.9254543714989619","0.9084065244667503","0.9425","169","169","169","0.929505143066694","0.9149999999999999","0.9391304347826087","169","169","169","0.9512539511475702","0.9407313997477933","0.962121212121212"
"8256","171","171","171","0.9405913416825648","0.9297163995067818","0.952029520295203","171","171","171","0.936088017312818","0.9309912170639899","0.9501246882793017","171","171","171","0.9387714472137499","0.9261576971214018","0.9561952440550688","171","171","171","0.9416020723323355","0.9321608040201005","0.9486858573216519","171","171","171","0.9413666091142826","0.9353233830845771","0.9523809523809523","171","171","171","0.9297738736659313","0.912718204488778","0.9522613065326633","171","171","171","0.9302860250603782","0.912718204488778","0.9402795425667091","171","171","171","0.9519844337607077","0.9417721518987343","0.962121212121212"
"8352","173","173","173","0.9390289372996076","0.9297163995067818","0.9473684210526316","173","173","173","0.9377203179147078","0.9306431273644388","0.9526184538653367","173","173","173","0.9370092639225408","0.9188514357053683","0.9539227895392278","173","173","173","0.9392610992450173","0.9276807980049875","0.9478908188585606","173","173","173","0.9431227184522617","0.9330024813895781","0.9523809523809523","173","173","173","0.928275120391004","0.9088639200998753","0.9522613065326633","173","173","173","0.9275273607207085","0.912718204488778","0.9389788293897883","173","173","173","0.9527734003504607","0.9393939393939393","0.965952080706179"
"8448","175","175","175","0.9415034314321448","0.9333333333333333","0.9486858573216519","175","175","175","0.9387861772681813","0.9321608040201005","0.9489414694894147","175","175","175","0.9383082149051113","0.9236545682102627","0.9538077403245941","175","175","175","0.9416976791698465","0.9261576971214018","0.9504447268106736","175","175","175","0.9410003610904077","0.9343246592317224","0.9534591194968555","175","175","175","0.9292339217664436","0.9113607990012486","0.9522613065326633","175","175","175","0.9292783755422793","0.915211970074813","0.937579617834395","175","175","175","0.9529597770798158","0.9405815423514539","0.965952080706179"
"8544","177","177","177","0.9415141186271452","0.9333333333333333","0.9496932515337423","177","177","177","0.9366566530100882","0.9308641975308642","0.9489414694894147","177","177","177","0.9388553684338927","0.9275","0.9612015018773465","177","177","177","0.9437136395906125","0.9311639549436797","0.9526184538653367","177","177","177","0.938779190882074","0.9303482587064676","0.9522613065326633","177","177","177","0.929754262637992","0.912718204488778","0.9534591194968555","177","177","177","0.9303254786859434","0.9201995012468827","0.9389312977099236","177","177","177","0.9542308606617802","0.9457755359394704","0.9634300126103404"
"8640","179","179","179","0.9438385566694156","0.9354838709677419","0.952029520295203","179","179","179","0.9373601465444915","0.9309912170639899","0.9525","179","179","179","0.9365967345304776","0.917705735660848","0.9573934837092732","179","179","179","0.9446412294685775","0.9335006273525721","0.9536921151439299","179","179","179","0.9401010853250525","0.9354838709677419","0.9510664993726474","179","179","179","0.930726302025497","0.9104294478527607","0.9534591194968555","179","179","179","0.9286013000199242","0.9140722291407224","0.937810945273632","179","179","179","0.9525142271263274","0.9457755359394704","0.9634300126103404"
"8736","181","181","181","0.9405089659018537","0.9309912170639899","0.952029520295203","181","181","181","0.9367800747925437","0.9318181818181819","0.9476309226932669","181","181","181","0.9365409468091034","0.918648310387985","0.958594730238394","181","181","181","0.9438814141716669","0.9309912170639899","0.95","181","181","181","0.9409962000793728","0.9308641975308642","0.9510664993726474","181","181","181","0.9282171417568723","0.91","0.9534591194968555","181","181","181","0.930212321437633","0.9163545568039951","0.9387755102040817","181","181","181","0.9529859368283148","0.9457755359394704","0.9634300126103404"
"8832","183","183","183","0.9415030785345184","0.9297163995067818","0.9556650246305419","183","183","183","0.9384909803132129","0.9318181818181819","0.9489414694894147","183","183","183","0.9358062210349454","0.917705735660848","0.9548872180451128","183","183","183","0.9401946228414968","0.9309912170639899","0.9454094292803972","183","183","183","0.940496806637713","0.9306930693069306","0.9547738693467337","183","183","183","0.9306688754264887","0.914004914004914","0.9534591194968555","183","183","183","0.9296976064769357","0.9149999999999999","0.9411764705882353","183","183","183","0.9535130319533518","0.947103274559194","0.9634300126103404"
"8928","185","185","185","0.9434949451709965","0.9308641975308642","0.952029520295203","185","185","185","0.9388256248569201","0.9309912170639899","0.9489414694894147","185","185","185","0.9373472465422085","0.9213483146067416","0.9575","185","185","185","0.9448526795010862","0.9358490566037736","0.9486858573216519","185","185","185","0.9427131421973032","0.9364881693648817","0.9535759096612295","185","185","185","0.9294267680372357","0.9128834355828221","0.9534591194968555","185","185","185","0.9294330512951857","0.9149999999999999","0.9411764705882353","185","185","185","0.9535130319533518","0.947103274559194","0.9634300126103404"
"9024","187","187","187","0.9424761759039344","0.9295426452410381","0.9544895448954489","187","187","187","0.9390276099460664","0.9331651954602775","0.9477611940298507","187","187","187","0.9352782246167193","0.924812030075188","0.9536921151439299","187","187","187","0.9458315905449878","0.9395465994962218","0.9479034307496824","187","187","187","0.9404032912102803","0.927070457354759","0.9534591194968555","187","187","187","0.9312076207173448","0.914004914004914","0.9522613065326633","187","187","187","0.9290389565108974","0.9115815691158158","0.9399744572158366","187","187","187","0.9523062231039827","0.9459119496855346","0.9634300126103404"
"9120","189","189","189","0.9424361883521215","0.9331683168316831","0.952029520295203","189","189","189","0.9390270025344296","0.9331651954602775","0.9477611940298507","189","189","189","0.9365277220751466","0.9211514392991239","0.9575","189","189","189","0.9451254603356564","0.9360100376411543","0.9486858573216519","189","189","189","0.9412205462453264","0.9339975093399752","0.957286432160804","189","189","189","0.9292230464112166","0.9125","0.9522613065326633","189","189","189","0.9297407153724053","0.9115815691158158","0.9411764705882353","189","189","189","0.9525417552498157","0.9459119496855346","0.9634300126103404"
"9216","191","191","191","0.9422481593997951","0.928395061728395","0.952029520295203","191","191","191","0.9385199701055564","0.9319899244332494","0.9489414694894147","191","191","191","0.9383057412909587","0.925","0.9612015018773465","191","191","191","0.9424398686244839","0.9286608260325407","0.9475","191","191","191","0.9395099688245103","0.9232673267326732","0.9547738693467337","191","191","191","0.9302589258558317","0.914004914004914","0.9534591194968555","191","191","191","0.9297074830251963","0.915211970074813","0.9411764705882353","191","191","191","0.9520113114048195","0.9459119496855346","0.9634300126103404"
"9312","193","193","193","0.942716380136439","0.9344870210135972","0.9498746867167919","193","193","193","0.9383095072196568","0.9319899244332494","0.9489414694894147","193","193","193","0.935904730860093","0.9175","0.9586983729662076","193","193","193","0.9433485061015062","0.9345088161209069","0.9486858573216519","193","193","193","0.9379580055819405","0.9244114002478315","0.9510664993726474","193","193","193","0.9284977985791949","0.91","0.9534591194968555","193","193","193","0.9299682581335749","0.9138576779026217","0.9425287356321839","193","193","193","0.9515334492931948","0.9452229299363057","0.9634300126103404"
"9408","195","195","195","0.9439585561768846","0.9344870210135972","0.9544895448954489","195","195","195","0.9383669765740723","0.9321608040201005","0.9489414694894147","195","195","195","0.9383409544529682","0.925","0.9612015018773465","195","195","195","0.9433485061015062","0.9345088161209069","0.9486858573216519","195","195","195","0.9391799438946571","0.9305210918114144","0.9510664993726474","195","195","195","0.9302634911292026","0.9128834355828221","0.9534591194968555","195","195","195","0.9294749395168942","0.9138576779026217","0.9411764705882353","195","195","195","0.9520084480810983","0.9452229299363057","0.9634300126103404"
"9504","197","197","197","0.9432380335905902","0.9344870210135972","0.9495694956949569","197","197","197","0.9376051195335556","0.9308176100628932","0.9489414694894147","197","197","197","0.9385525781017418","0.925","0.9598997493734336","197","197","197","0.9428792131535898","0.9333333333333332","0.9486858573216519","197","197","197","0.9414577243825114","0.9318463444857498","0.9510664993726474","197","197","197","0.9299927373086705","0.914004914004914","0.9534591194968555","197","197","197","0.9297402630832007","0.912718204488778","0.9411764705882353","197","197","197","0.9520075058096203","0.9452229299363057","0.9634300126103404"
"9600","200","199","201","0.9442220434306886","0.9344870210135972","0.9544895448954489","200","199","201","0.938327411768763","0.9308176100628932","0.9489414694894147","200","199","201","0.9385766439400103","0.925","0.9612015018773465","200","199","201","0.9428792131535898","0.9333333333333332","0.9486858573216519","200","199","201","0.9402184830471556","0.9318463444857498","0.9510664993726474","200","199","201","0.9299927373086705","0.914004914004914","0.9534591194968555","200","199","201","0.9297402630832009","0.912718204488778","0.9411764705882353","200","199","201","0.9520075058096202","0.9452229299363057","0.9634300126103404"
